CHAPTER01,主語と動詞とは・be動詞,am are isの使い分け,"「am」は主語が「I」の場合、「are」は主語が「you, we, they」など複数の時、「is」は主語が「he, she, it」など単数の時に使います。"
CHAPTER01,主語と動詞とは・be動詞,am are isの整理,"「am」は主語が「I」の時、「are」は「you, we, they」など複数形の主語の時、「is」は「he, she, it」など単数形の主語の時に使われます。"
CHAPTER01,主語と動詞とは・be動詞,「be動詞」とは？,"be動詞とは「am, are, is, was, were」などの動詞で、主語の状態や存在を表します。"
CHAPTER01,主語と動詞とは・be動詞,「主語」と「動詞」とは？,"主語とは文の主体となるもの（例：I, you, he, she, it など）、動詞とは主語の動作や状態を表す単語（例：run, eat, is, are など）です。"
CHAPTER02,一般動詞,「3人称」とは？,"「3人称」とは、話し手（1人称）や聞き手（2人称）以外の人や物を指し、「he, she, it」やそれに相当する名詞が該当します。"
CHAPTER02,一般動詞,「一般動詞」とは？,"一般動詞とは、「run」「eat」「play」などの動作や状態を表す動詞で、be動詞（am, is, are）とは異なります。"
CHAPTER02,一般動詞,動詞の形のまとめ,"動詞には原形、過去形、過去分詞形、進行形などの変化があり、主語や時制によって適切な形を使います。"
CHAPTER02,一般動詞,動詞の形の使い分け,"動詞の形は、主語の人称や数（単数・複数）、時制（現在・過去・未来）によって異なり、3単現の「s」や過去形の「-ed」などのルールがあります。"
CHAPTER02,一般動詞,間違えやすい3単元,"3単元の「s」は、主語が3人称単数（he, she, it）の場合に動詞の語尾に「-s」または「-es」をつけるルールですが、例外もあるため注意が必要です。"
CHAPTER03,品詞の基礎,「代名詞」とは？,"代名詞とは、名詞の代わりに使われる言葉で、「I, you, he, she, it, we, they」などの人称代名詞や、「this, that」などの指示代名詞があります。"
CHAPTER03,品詞の基礎,「前置詞」とは？,"前置詞とは、名詞や代名詞の前に置かれ、場所・時間・方法などを表す語で、「in, on, at, by, with, for」などが含まれます。"
CHAPTER03,品詞の基礎,「副詞」とは？,"副詞とは、動詞・形容詞・他の副詞・文全体を修飾し、方法・程度・頻度・場所・時間などを表す語で、「quickly, very, often, here, now」などがあります。"
CHAPTER03,品詞の基礎,「形容詞」とは？,"形容詞とは、名詞を修飾して性質や状態を表す語で、「big, small, happy, sad, interesting」などが含まれます。"
CHAPTER03,品詞の基礎,「彼の」「私たちの」など,"「彼の」「私たちの」などは所有代名詞または所有形容詞で、「his, our」などの形で名詞の前に置かれ、所有を示します。"
CHAPTER04,否定文の基礎,isn’tやdon’tの整理,"「isn't」はbe動詞（is）の否定形で、「don’t」は一般動詞の否定形（do not の短縮形）です。「isn't」は主語が「he, she, it」の時に使い、「don’t」は主語が「I, you, we, they」などの時に一般動詞とともに使います。"
CHAPTER04,否定文の基礎,否定文のつくり方,"否定文は、be動詞の文なら「be動詞＋not」（例：He is not happy.）、一般動詞の文なら「do/does + not + 動詞の原形」（例：She does not like coffee.）の形で作ります。"
CHAPTER05,疑問文の基礎,Are you ～?やDo you ～?の整理,"「Are you ～?」はbe動詞を使った疑問文で、主語が「you」の場合に「Are」を文頭に置きます。一方、「Do you ～?」は一般動詞を使った疑問文で、一般動詞の前に「Do」をつけることで疑問文になります。"
CHAPTER05,疑問文の基礎,Are you ～？などへの答え方,"「Are you ～?」の答え方は、「Yes, I am.」または「No, I’m not.」を使います。「Do you ～?」の答え方は、「Yes, I do.」または「No, I don’t.」を使います。"
CHAPTER05,疑問文の基礎,疑問文のつくり方,"疑問文は、be動詞の文なら「be動詞を文頭に置く」（例：Are you happy?）、一般動詞の文なら「do/doesを文頭に置く」（例：Do you like coffee?）の形で作ります。"
CHAPTER06,疑問詞,Howの疑問文,"「How」は「どのように」「どれくらい」などを尋ねる疑問詞です。例：「How are you?（元気ですか？）」「How do you go to school?（どのように学校へ行きますか？）」「How long does it take?（どれくらい時間がかかりますか？）」"
CHAPTER06,疑問詞,Whatの疑問文,"「What」は「何？」を尋ねる疑問詞です。例：「What is this?（これは何ですか？）」「What do you like?（何が好きですか？）」「What time is it?（今何時ですか？）」"
CHAPTER06,疑問詞,いろいろな疑問詞,"疑問詞には「Who（誰）」「What（何）」「When（いつ）」「Where（どこ）」「Why（なぜ）」「How（どのように）」などがあり、情報を尋ねる際に使います。"
CHAPTER06,疑問詞,時刻・曜日のたずね方,"時刻を尋ねるには「What time is it?（今何時ですか？）」、曜日を尋ねるには「What day is it today?（今日は何曜日ですか？）」を使います。"
CHAPTER07,複数形・命令文・代名詞,「命令文」とは？,"命令文とは、相手に指示やお願いをする文で、動詞の原形で始めます。例：「Sit down.（座りなさい）」「Please help me.（手伝ってください）」"
CHAPTER07,複数形・命令文・代名詞,「私を」「彼を」など,"「私を」「彼を」などは目的格の代名詞で、「me（私を）」「him（彼を）」「her（彼女を）」のように使います。例：「Call me.（私に電話して）」「Help him.（彼を助けて）」"
CHAPTER07,複数形・命令文・代名詞,「複数形」とは？,"複数形とは、名詞が複数あることを表す形で、多くの単語は「-s」や「-es」をつけて表します。例：「book → books」「bus → buses」"
CHAPTER07,複数形・命令文・代名詞,「～しないで」「～しましょう」,"「～しないで」は「Don’t + 動詞の原形」で表し、例：「Don’t run.（走らないで）」。「～しましょう」は「Let’s + 動詞の原形」で表し、例：「Let’s go.（行きましょう）」"
CHAPTER07,複数形・命令文・代名詞,数のたずね方,"数を尋ねるときは「How many + 複数名詞 + are there?（いくつありますか？）」や「How many + 名詞 + do you have?（いくつ持っていますか？）」を使います。"
CHAPTER07,複数形・命令文・代名詞,間違えやすい複数形,"複数形には例外があり、不規則変化する単語もあります。例：「child → children」「man → men」「mouse → mice」など。"
CHAPTER08,現在進行形,「何をしているのですか」,"現在進行形で行動を尋ねるときは「What are you doing?（何をしているのですか？）」を使います。"
CHAPTER08,現在進行形,「現在進行形」とは？,"現在進行形は「be動詞 + 動詞のing形」の形で、今まさに行っている動作を表します。例：「I am studying English.（私は英語を勉強しています。）」"
CHAPTER08,現在進行形,まちがえやすいing形,"動詞のing形には規則があります。「run → running」「make → making」「sit → sitting」など、語尾の変化に注意が必要です。"
CHAPTER08,現在進行形,進行形の否定文・疑問文,"現在進行形の否定文は「be動詞 + not + 動詞のing形」で作ります（例：「I am not sleeping.」）。疑問文は「be動詞を前に出す」形で作ります（例：「Are you studying?」）。"
CHAPTER09,過去形・過去進行形,wasとwere,"「was」は主語が「I, he, she, it」のときに使い、「were」は主語が「you, we, they」のときに使います。"
CHAPTER09,過去形・過去進行形,「何をしましたか」,"過去の行動を尋ねるときは「What did you do?（何をしましたか？）」を使います。"
CHAPTER09,過去形・過去進行形,「過去形」とは？,"過去形は、過去に起こった出来事を表す形で、規則動詞は「-ed」をつけ、不規則動詞は変化形を覚える必要があります。例：「walk → walked」「go → went」"
CHAPTER09,過去形・過去進行形,「過去進行形」とは？,"過去進行形は「was/were + 動詞のing形」の形で、過去のある時点で行われていた動作を表します。例：「I was watching TV.（私はテレビを見ていました）」"
CHAPTER09,過去形・過去進行形,まちがいやすい過去形,"不規則動詞の過去形に注意が必要です。例：「begin → began」「eat → ate」「take → took」"
CHAPTER09,過去形・過去進行形,過去の分の整理,"過去形は出来事の流れを説明するときに使い、過去進行形はその時点で行われていたことを強調する際に使います。"
CHAPTER09,過去形・過去進行形,過去の否定文,"過去の否定文は「did not + 動詞の原形」で作ります。例：「I did not go to school.（私は学校に行きませんでした）」"
CHAPTER09,過去形・過去進行形,過去の疑問文,"過去の疑問文は「Did + 主語 + 動詞の原形？」で作ります。例：「Did you see the movie?（あなたはその映画を見ましたか？）」"
CHAPTER10,未来の言い方,be going toとは？,"「be going to + 動詞の原形」は、予定された未来の行動や確実に起こる未来の出来事を表します。例：「I am going to study English.（私は英語を勉強するつもりです）」"
CHAPTER10,未来の言い方,be going toの否定文・疑問文,"否定文は「be動詞 + not + going to + 動詞の原形」で作ります。例：「I am not going to play soccer.」疑問文は「be動詞 + 主語 + going to + 動詞の原形？」で作ります。例：「Are you going to visit Japan?」"
CHAPTER10,未来の言い方,willとは？,"「will + 動詞の原形」は、話した時点で決めた未来の行動や予測を表します。例：「I will help you.（手伝いますよ）」「It will rain tomorrow.（明日は雨が降るでしょう）」"
CHAPTER10,未来の言い方,willの否定文・疑問文,"否定文は「will not (won’t) + 動詞の原形」で作ります。例：「I won’t go to the party.」疑問文は「Will + 主語 + 動詞の原形？」で作ります。例：「Will you come with me?」"
CHAPTER10,未来の言い方,「何をするつもりですか」,"未来の予定を尋ねるときは「What are you going to do?（何をするつもりですか？）」または「What will you do?（何をしますか？）」を使います。"
CHAPTER11,助動詞・have toなど,have to の否定文・疑問文,"否定文は「don't have to + 動詞の原形」で、「～する必要はない」という意味になります。例：「You don’t have to come.（来る必要はありません）」疑問文は「Do you have to + 動詞の原形？」で作ります。例：「Do you have to work tomorrow?（明日働かなければなりませんか？）」"
CHAPTER11,助動詞・have toなど,「～していただけますか」,"丁寧な依頼には「Could you + 動詞の原形？」や「Would you + 動詞の原形？」を使います。例：「Could you help me?（手伝っていただけますか？）」"
CHAPTER11,助動詞・have toなど,「～してもいい？」「～してくれる？」,"許可を求める場合は「Can I + 動詞の原形？」（例：「Can I sit here?（ここに座ってもいいですか？）」）、依頼する場合は「Can you + 動詞の原形？」（例：「Can you help me?（手伝ってくれる？）」）を使います。"
CHAPTER11,助動詞・have toなど,「～しなければならない」,"義務を表す場合、「have to + 動詞の原形」または「must + 動詞の原形」を使います。例：「I have to go now.（私はもう行かなければなりません）」「You must wear a seatbelt.（シートベルトをしなければなりません）」"
CHAPTER11,助動詞・have toなど,「～しましょうか？」,"申し出る場合は「Shall I + 動詞の原形？」（例：「Shall I open the window?（窓を開けましょうか？）」）を使います。"
CHAPTER11,助動詞・have toなど,「～できますか」,"能力や可能を尋ねるときは「Can you + 動詞の原形？」（例：「Can you swim?（泳げますか？）」）を使います。"
CHAPTER11,助動詞・have toなど,「～できる」のcan,"「can + 動詞の原形」は「～できる」という能力や可能性を表します。例：「I can speak English.（私は英語を話せます）」"
CHAPTER11,助動詞・have toなど,依頼のWill you～？など,"依頼するときは「Will you + 動詞の原形？」を使います。例：「Will you help me?（手伝ってくれますか？）」"
CHAPTER12,不定詞（基礎）・動名詞,「不定詞」とは？,"不定詞とは、「to + 動詞の原形」の形で使われ、目的・理由・感情の原因などを表すことができます。例：「I want to go.（私は行きたい）」"
